date,winner_tie,loser_tie,attendance
12/29/2021,Oklahoma,Oregon,59121
12/29/2020,Texas,Colorado,10822
12/31/2019,Texas,Utah,60147
12/28/2018,Washington State,Iowa State,60675
12/28/2017,Texas Christian,Stanford,57653
12/29/2016,Oklahoma State,Colorado,59815
1/2/2016,Texas Christian,Oregon,64569
1/2/2015,UCLA,Kansas State,60517
12/30/2013,Oregon,Texas,65918
12/29/2012,Texas,Oregon State,65277
12/29/2011,Baylor,Washington,65256
12/29/2010,Oklahoma State,Arizona,57593
1/2/2010,Texas Tech,Michigan State,64757
12/29/2008,Missouri,Northwestern,55986
12/29/2007,Penn State,Texas A&M,66166
12/30/2006,Texas,Iowa,65875
12/28/2005,Nebraska,Michigan,62000
12/29/2004,Ohio State,Oklahoma State,65265
12/29/2003,Nebraska,Michigan State,56226
12/28/2002,Wisconsin,Colorado,50690
12/29/2001,Iowa,Texas Tech,65232
12/30/2000,Nebraska,Northwestern,60028
12/28/1999,Penn State,Texas A&M,65380
12/29/1998,Purdue,Kansas State,60780
12/30/1997,Purdue,Oklahoma State,55552
12/29/1996,Iowa,Texas Tech,55677
12/28/1995,Texas A&M,Michigan,64597
12/31/1994,Washington State,Baylor,44106
12/31/1993,California,Iowa,45716
12/22/2021,Army,Missouri,34888
12/31/2020,Mississippi State,Tulsa,9000
1/4/2020,Tulane,Southern Mississippi,38513
12/22/2018,Army,Houston,44738
12/23/2017,Army,San Diego State,35986
12/23/2016,Louisiana Tech,Navy,40542
12/29/2015,California,Air Force,38915
1/2/2015,Houston,Pittsburgh,37888
12/30/2013,Navy,Middle Tennessee State,39246
12/29/2012,Rice,Air Force,40754
12/30/2011,Brigham Young,Tulsa,30258
12/30/2010,Army,Southern Methodist,36742
12/31/2009,Air Force,Houston,41414
12/31/2008,Houston,Air Force,41127
12/31/2007,California,Air Force,44009
12/23/2006,Utah,Tulsa,32412
12/23/2005,Kansas,Houston,33505
12/23/2004,Cincinnati,Marshall,27902
12/23/2003,Boise State,Texas Christian,38028
12/17/2021,Middle Tennessee State,Toledo,13596
12/20/2019,Buffalo,Charlotte,13547
12/21/2018,Florida International,Toledo,13510
12/22/2017,Ohio,Alabama-Birmingham,13585
12/23/2016,Old Dominion,Eastern Michigan,13422
12/24/2015,Western Michigan,Middle Tennessee State,13123
12/24/2014,Western Kentucky,Central Michigan,13667
12/23/2021,Central Florida,Florida,63669
12/23/2019,Central Florida,Marshall,28987
12/20/2018,Marshall,South Florida,14135
12/21/2017,Temple,Florida International,16363
12/26/2016,Mississippi State,Miami,15717
12/26/2015,Marshall,Connecticut,14652
12/26/2014,North Carolina State,Central Florida,26675
12/23/2013,East Carolina,Ohio,20053
12/21/2012,Central Florida,Ball State,21759
12/20/2011,Marshall,Florida International,20072
12/21/2010,Louisville,Southern Mississippi,20017
12/19/2009,Rutgers,Central Florida,29763
12/20/2008,South Florida,Memphis,25205
12/28/2021,Houston,Auburn,47100
1/2/2020,Cincinnati,Boston College,27193
12/22/2018,Wake Forest,Memphis,25717
12/23/2017,South Florida,Texas Tech,28623
12/29/2016,South Florida,South Carolina,31229
12/30/2015,Auburn,Memphis,59430
1/3/2015,Florida,East Carolina,30083
1/4/2014,Vanderbilt,Houston,42717
1/5/2013,Mississippi,Pittsburgh,59135
1/7/2012,Southern Methodist,Pittsburgh,29726
1/8/2011,Pittsburgh,Kentucky,41207
1/2/2010,Connecticut,South Carolina,45254
12/29/2008,Rutgers,North Carolina State,38582
12/22/2007,Cincinnati,Southern Mississippi,35258
12/23/2006,South Florida,East Carolina,32023
12/18/2021,Western Kentucky,Appalachian State,15429
12/22/2020,Brigham Young,Central Florida,6000
12/21/2019,Florida Atlantic,Southern Methodist,23187
12/18/2018,Alabama-Birmingham,Northern Illinois,22614
12/19/2017,Florida Atlantic,Akron,25912
12/20/2016,Western Kentucky,Memphis,24726
12/22/2015,Toledo,Temple,25908
12/23/2014,Marshall,Northern Illinois,29419
12/28/2021,Minnesota,West Virginia,21220
12/27/2019,Air Force,Washington State,34105
12/26/2018,Texas Christian,California,33121
12/26/2017,Kansas State,UCLA,32859
